ZIP_CODE	STATE_ABBREV	COUNTY_NAME	CITY_NAME	STATE_SALES_TAX	STATE_USE_TAX	COUNTY_SALES_TAX	COUNTY_USE_TAX	CITY_SALES_TAX	CITY_USE_TAX	TOTAL_SALES_TAX	TOTAL_USE_TAX	TAX_SHIPPING_ALONE	TAX_SHIPPING_AND_HANDLING_TOGETHER
85083	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85085	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85086	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85087	AZ	MARICOPA	NEW RIVER	0.066000	0.066000	0.007000	0.000000	0.000000	0.000000	0.073000	0.066000	N	N
85097	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85098	AZ	MARICOPA	PHOENIX	0.066000	0.066000	0.007000	0.000000	0.020000	0.020000	0.093000	0.086000	N	N
85117	AZ	PINAL	APACHE JUNCTION	0.066000	0.066000	0.011000	0.000000	0.022000	0.000000	0.099000	0.066000	N	N
85118	AZ	PINAL	GOLD CANYON	0.066000	0.066000	0.011000	0.000000	0.000000	0.000000	0.077000	0.066000	N	N
85119	AZ	PINAL	APACHE JUNCTION	0.066000	0.066000	0.011000	0.000000	0.022000	0.000000	0.099000	0.066000	N	N
85120	AZ	PINAL	APACHE JUNCTION	0.066000	0.066000	0.011000	0.000000	0.022000	0.000000	0.099000	0.066000	N	N
85121	AZ	PINAL	BAPCHULE	0.066000	0.066000	0.011000	0.000000	0.000000	0.000000	0.077000	0.066000	N	N
85122	AZ	PINAL	CASA GRANDE	0.066000	0.066000	0.011000	0.000000	0.020000	0.000000	0.097000	0.066000	N	N
85123	AZ	PINAL	ARIZONA CITY	0.066000	0.066000	0.011000	0.000000	0.000000	0.000000	0.077000	0.066000	N	N
85127	AZ	MARICOPA	CHANDLER HEIGHTS	0.066000	0.066000	0.007000	0.000000	0.000000	0.000000	0.073000	0.066000	N	N
85128	AZ	PINAL	COOLIDGE	0.066000	0.066000	0.011000	0.000000	0.030000	0.030000	0.107000	0.096000	N	N
85130	AZ	PINAL	CASA GRANDE	0.066000	0.066000	0.011000	0.000000	0.020000	0.000000	0.097000	0.066000	N	N
85131	AZ	PINAL	ELOY	0.066000	0.066000	0.011000	0.000000	0.030000	0.030000	0.107000	0.096000	N	N
85132	AZ	PINAL	FLORENCE	0.066000	0.066000	0.011000	0.000000	0.020000	0.030000	0.097000	0.096000	N	N
85135	AZ	GILA	HAYDEN	0.066000	0.066000	0.010000	0.000000	0.030000	0.030000	0.106000	0.096000	N	N
85137	AZ	PINAL	KEARNY	0.066000	0.066000	0.011000	0.000000	0.030000	0.000000	0.107000	0.066000	N	N
85138	AZ	PINAL	MARICOPA	0.066000	0.066000	0.011000	0.000000	0.020000	0.020000	0.097000	0.086000	N	N
85139	AZ	PINAL	MARICOPA	0.066000	0.066000	0.011000	0.000000	0.020000	0.020000	0.097000	0.086000	N	N
85140	AZ	PINAL	SAN TAN VALLEY	0.066000	0.066000	0.011000	0.000000	0.000000	0.000000	0.077000	0.066000	N	N
85141	AZ	PINAL	PICACHO	0.066000	0.066000	0.011000	0.000000	0.000000	0.000000	0.077000	0.066000	N	N
85142	AZ	MARICOPA	QUEEN CREEK	0.066000	0.066000	0.007000	0.000000	0.022500	0.022500	0.095500	0.088500	N	N
85143	AZ	PINAL	SAN TAN VALLEY	0.066000	0.066000	0.011000	0.000000	0.000000	0.000000	0.077000	0.066000	N	N
85145	AZ	PINAL	RED ROCK	0.066000	0.066000	0.011000	0.000000	0.000000	0.000000	0.077000	0.066000	N	N
